url_length,hostname_length,path_length,count_dots,count_hyphens,digit_count,digit_ratio,has_ip_address,subdomain_count,has_at_symbol,shannon_entropy_nan,relative_entropy,count_sensitive_keywords,count_brand_keywords,has_https_token_in_host,count_slashes,count_vowels_dom,status_bin
19,11,1,2,0,4,0.21052631578947367,0,1,0,1.4591479170272448,1.6205785759503222,0,0,0,3,1,1
60,13,40,2,1,5,0.08333333333333333,0,1,0,1.5709505944546687,0.5064647915085296,0,0,0,6,2,0
45,24,14,2,0,0,0.0,0,1,0,1.3787834934861753,0.40058389552509344,0,0,0,4,7,0
125,26,91,3,5,11,0.088,0,1,0,1.8427376486136673,0.3280854690073857,0,0,0,10,9,0
29,20,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.4255353657791452,0,0,0,3,7,0
51,15,29,5,0,0,0.0,0,1,0,1.360964047443681,0.5514626176549928,1,0,0,4,4,1
37,17,13,2,1,0,0.0,0,1,0,1.657742726504889,0.6736072915701246,0,0,0,5,3,1
34,25,1,3,0,0,0.0,0,2,0,1.4488156357251847,0.4698651088614048,0,0,0,3,8,0
31,23,1,2,1,0,0.0,0,1,0,1.8423709931771084,0.5379172616616603,0,0,0,3,7,0
27,18,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.8104537380120952,0,0,0,3,2,0
79,18,53,4,1,8,0.10126582278481013,0,1,0,2.271782221599798,0.5469110748525112,0,0,0,7,4,0
67,10,50,1,7,2,0.029850746268656716,0,0,0,1.5744174271404585,0.47986530760669865,0,0,0,5,4,0
20,11,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.9488062171440291,0,0,0,3,3,0
50,20,22,3,0,0,0.0,0,1,0,1.3516441151533924,0.4917784300208439,0,0,0,5,6,0
35,17,10,2,0,0,0.0,0,1,0,1.3787834934861753,0.6844769857608587,0,0,0,4,6,0
40,31,1,2,1,0,0.0,0,1,0,1.8423709931771084,0.44913756784799846,0,0,0,3,9,1
40,25,7,2,0,8,0.2,0,1,0,1.3787834934861753,1.084842980711583,0,0,0,4,6,1
48,24,17,3,0,0,0.0,0,1,0,1.4488156357251847,0.25548828716850525,0,0,0,3,7,0
35,28,0,3,0,2,0.05714285714285714,0,2,0,1.4591479170272448,0.9203782253218429,0,0,0,2,10,1
127,50,20,4,1,24,0.1889763779527559,0,3,0,2.7550576199383077,0.9110280225148626,3,2,0,5,17,1
106,25,74,3,7,1,0.009433962264150943,0,1,0,1.7394541964918904,0.23685857592260112,0,0,0,6,8,0
74,14,10,4,1,4,0.05405405405405406,0,1,0,2.5232314287976205,0.7621781481594805,0,0,0,3,2,0
55,28,19,2,1,0,0.0,0,1,0,2.197159723424149,0.5367602754436916,0,0,0,3,9,0
30,21,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.5944968203885899,0,0,0,3,6,0
32,18,7,3,0,2,0.0625,0,1,0,1.4488156357251847,0.824978526440637,0,0,0,3,3,1
61,14,40,5,0,0,0.0,0,2,0,1.3250112108241772,0.3778981756626112,1,1,0,6,4,1
79,31,33,3,3,0,0.0,0,1,0,2.2988252450030506,0.40796273642240727,0,0,0,5,8,1
58,21,18,4,0,2,0.034482758620689655,0,1,1,2.251629167387823,1.1106035641623335,0,0,0,4,5,1
35,18,10,2,0,0,0.0,0,1,0,1.3787834934861753,0.49885748089027615,0,0,0,4,5,1
70,16,46,2,0,2,0.02857142857142857,0,1,0,1.5709505944546687,0.6195628881642267,0,0,0,6,6,1
76,16,14,3,1,0,0.0,0,1,0,2.217021885879718,0.35204136456673707,0,0,0,6,3,1
31,23,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.6042401325205312,0,0,0,3,7,0
42,15,19,2,0,8,0.19047619047619047,0,1,0,1.2987949406953985,0.8590979616496663,0,0,0,5,4,0
21,12,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.6704465985131888,0,0,0,3,3,0
64,14,21,3,0,13,0.203125,0,1,0,2.0464393446710156,0.7968239099874338,0,0,0,4,3,0
38,27,4,2,0,0,0.0,0,1,0,1.4591479170272448,0.448512335964693,0,0,0,3,10,0
60,22,31,1,2,5,0.08333333333333333,0,0,0,1.4182958340544896,0.3412136027170815,0,0,0,8,9,1
64,20,37,3,0,0,0.0,0,1,0,1.3516441151533924,0.47301224676884374,0,0,0,5,6,0
145,25,113,4,1,15,0.10344827586206896,0,1,0,1.6113834567195195,0.3271806263893901,0,0,0,11,7,1
64,17,40,2,0,22,0.34375,0,1,0,1.3787834934861753,1.3814529549007688,0,0,0,4,6,1
18,9,1,1,0,0,0.0,0,0,0,1.3709505944546687,1.3490223123932072,0,0,0,3,2,0
32,23,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.673801905023199,0,0,0,3,5,0
130,31,82,2,2,10,0.07692307692307693,0,1,0,2.5016094970590275,0.593330209351901,0,0,0,7,11,1
84,17,60,3,1,3,0.03571428571428571,0,1,0,2.146465798504072,0.28681858185530273,0,0,0,7,4,0
271,20,78,5,0,84,0.30996309963099633,0,1,0,2.5005038327557685,1.2410039947694638,2,0,0,10,5,1
29,20,1,2,0,3,0.10344827586206896,0,1,0,1.4591479170272448,0.8669122842517526,0,0,0,3,7,1
73,17,49,1,3,7,0.0958904109589041,0,0,0,1.6854752972273344,0.4776790383953972,0,0,0,5,5,0
26,18,1,3,0,0,0.0,0,2,0,1.4488156357251847,0.9469605841244824,0,0,0,3,6,0
42,34,1,2,2,6,0.14285714285714285,0,1,0,1.9056390622295665,0.7180171373804272,0,0,0,3,9,1
60,16,25,2,0,1,0.016666666666666666,0,1,0,1.9609640474436811,0.45176398686125885,0,0,0,5,6,1
126,50,20,4,1,14,0.1111111111111111,0,3,0,2.7550576199383077,0.7168946667885322,3,2,0,5,17,1
29,20,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.36107930482466466,0,0,0,3,5,0
140,13,120,1,6,1,0.007142857142857143,0,0,0,1.6437519544205021,0.3279600128295483,3,0,0,11,4,1
21,13,1,2,0,0,0.0,0,1,0,1.4591479170272448,1.2263048729751442,0,0,0,3,3,0
18,9,1,1,0,0,0.0,0,0,0,1.3709505944546687,1.1424018230912596,0,0,0,3,2,0
41,16,17,2,0,0,0.0,0,1,0,1.2987949406953985,0.548653503272044,0,0,0,5,6,1
32,24,1,2,0,0,0.0,0,1,0,1.4591479170272448,0.49104287919997563,0,0,0,3,7,0
25,18,0,2,0,0,0.0,0,1,0,1.5219280948873621,0.6893995342027598,0,0,0,2,6,0
58,40,11,5,0,2,0.034482758620689655,0,3,0,1.360964047443681,0.5287225496854938,0,0,0,4,13,1
46,23,16,2,2,0,0.0,0,1,0,1.8365916681089791,0.44657902562174606,0,0,0,4,6,0
49,16,25,2,2,0,0.0,0,1,0,1.9056390622295665,0.30106392931406684,0,0,0,3,5,0
81,20,54,2,1,0,0.0,0,0,0,1.3520301017579528,0.2825073201827005,0,0,0,9,8,1
